SubjID,Location,Gender,Age,Set,Condition,GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,Order,Trial,Button,B,Payoff,Forgone,RT,Apay,Bpay,Feedback,block
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,15,L,0,21,20,2305,21,20,1,3
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,16,L,0,-37,20,2111,-37,20,1,4
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,17,L,0,35,20,2345,35,20,1,4
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,18,R,1,20,21,968,21,20,1,4
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,19,R,1,20,27,989,27,20,1,4
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,20,R,1,20,23,3561,23,20,1,4
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,21,L,0,21,20,1112,21,20,1,5
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,22,L,0,23,20,888,23,20,1,5
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,23,R,1,20,23,1419,23,20,1,5
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,24,L,0,21,20,987,21,20,1,5
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,25,L,0,23,20,983,23,20,1,5
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,1,R,0,6,15,12906,6,15,0,1
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,2,R,0,6,15,676,6,15,0,1
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,3,L,1,12,6,689,6,12,0,1
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,4,L,1,15,6,807,6,15,0,1
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,5,R,0,6,15,702,6,15,0,1
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,6,R,0,6,15,636,6,15,1,2
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,7,R,0,6,15,1248,6,15,1,2
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,8,L,1,15,6,892,6,15,1,2
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,9,L,1,15,6,695,6,15,1,2
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,10,L,1,15,41,596,41,15,1,2
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,11,L,1,15,6,1207,6,15,1,3
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,12,L,1,15,6,690,6,15,1,3
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,13,L,1,15,39,687,39,15,1,3
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,14,R,0,38,15,2404,38,15,1,3
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,15,R,0,38,15,726,38,15,1,3
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,16,R,0,40,15,572,40,15,1,4
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,17,R,0,37,15,622,37,15,1,4
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,18,R,0,6,15,666,6,15,1,4
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,19,L,1,15,6,567,6,15,1,4
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,20,L,1,15,6,553,6,15,1,4
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,21,L,1,12,6,547,6,12,1,5
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,22,L,1,15,40,741,40,15,1,5
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,23,R,0,6,15,635,6,15,1,5
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,24,R,0,6,15,599,6,15,1,5
60004,Rehovot,F,23,6,ByProb,153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,27,25,L,1,15,39,570,39,15,1,5
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,1,L,1,0,-1,12508,-1,0,0,1
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,2,R,0,-1,-1,2075,-1,-1,0,1
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,3,L,1,-1,-1,995,-1,-1,0,1
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,4,L,1,-1,-1,648,-1,-1,0,1
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,5,L,1,-1,-1,789,-1,-1,0,1
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,6,L,1,-1,-1,604,-1,-1,1,2
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,7,L,1,-1,-1,983,-1,-1,1,2
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,8,L,1,-1,-1,781,-1,-1,1,2
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,9,L,1,-1,-1,1068,-1,-1,1,2
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,10,L,1,-1,-1,739,-1,-1,1,2
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,11,L,1,-1,-1,801,-1,-1,1,3
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,12,L,1,-1,-1,601,-1,-1,1,3
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,13,L,1,-1,-1,708,-1,-1,1,3
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,14,L,1,-1,-1,682,-1,-1,1,3
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,15,L,1,-1,-1,784,-1,-1,1,3
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,16,L,1,-1,-1,1056,-1,-1,1,4
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,17,L,1,2,-1,622,-1,2,1,4
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,18,L,1,-1,-1,681,-1,-1,1,4
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,19,L,1,-1,-1,775,-1,-1,1,4
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,20,L,1,-1,-1,678,-1,-1,1,4
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,21,L,1,-1,-1,723,-1,-1,1,5
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,22,L,1,-1,-1,737,-1,-1,1,5
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,23,L,1,-1,-1,688,-1,-1,1,5
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,24,L,1,-1,-1,637,-1,-1,1,5
60004,Rehovot,F,23,6,ByProb,156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,20,25,L,1,-1,-1,881,-1,-1,1,5
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,1,R,1,24,39,2910,39,24,0,1
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,2,R,1,24,39,914,39,24,0,1
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,3,R,1,24,39,549,39,24,0,1
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,4,R,1,24,39,1358,39,24,0,1
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,5,L,0,14,24,901,14,24,0,1
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,6,L,0,14,24,584,14,24,1,2
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,7,R,1,24,39,610,39,24,1,2
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,8,R,1,24,39,606,39,24,1,2
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,9,L,0,14,24,657,14,24,1,2
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,10,L,0,39,24,558,39,24,1,2
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,11,R,1,24,39,1112,39,24,1,3
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,12,R,1,24,39,2144,39,24,1,3
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,13,R,1,24,39,1098,39,24,1,3
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,14,R,1,24,39,1114,39,24,1,3
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,15,L,0,39,24,690,39,24,1,3
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,16,L,0,39,48,655,39,48,1,4
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,17,L,0,14,24,844,14,24,1,4
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,18,R,1,48,39,1822,39,48,1,4
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,19,L,0,14,24,1144,14,24,1,4
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,20,R,1,24,14,585,14,24,1,4
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,21,R,1,24,39,612,39,24,1,5
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,22,R,1,24,39,719,39,24,1,5
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,23,L,0,39,48,597,39,48,1,5
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,24,L,0,39,24,632,39,24,1,5
60004,Rehovot,F,23,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,30,25,L,0,14,24,548,14,24,1,5
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,1,L,0,25,12,8557,25,12,0,1
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,2,R,1,12,25,2768,25,12,0,1
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,3,R,1,12,25,2081,25,12,0,1
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,4,R,1,12,25,914,25,12,0,1
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,5,R,1,12,25,613,25,12,0,1
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,6,L,0,25,12,873,25,12,1,2
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,7,R,1,12,25,2099,25,12,1,2
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,8,L,0,25,12,1588,25,12,1,2
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,9,L,0,25,12,760,25,12,1,2
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,10,L,0,25,12,703,25,12,1,2
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,11,L,0,25,12,805,25,12,1,3
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,12,L,0,25,35,669,25,35,1,3
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,13,L,0,25,12,1137,25,12,1,3
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,14,L,0,25,12,627,25,12,1,3
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,15,L,0,25,12,703,25,12,1,3
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,16,L,0,25,12,581,25,12,1,4
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,17,L,0,25,12,615,25,12,1,4
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,18,L,0,25,12,603,25,12,1,4
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,19,R,1,12,25,550,25,12,1,4
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,20,R,1,35,25,536,25,35,1,4
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,21,L,0,25,12,1346,25,12,1,5
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,22,L,0,25,35,832,25,35,1,5
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,23,L,0,25,12,1057,25,12,1,5
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,24,L,0,25,12,927,25,12,1,5
60004,Rehovot,F,23,6,ByProb,163,25,1,25,-,1,35,0.2,12,-,1,0,0,26,25,L,0,25,12,594,25,12,1,5
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,1,L,0,19,34,12195,19,34,0,1
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,2,L,0,19,34,1438,19,34,0,1
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,3,L,0,19,34,966,19,34,0,1
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,4,L,0,19,34,1034,19,34,0,1
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,5,L,0,60,23,1952,60,23,0,1
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,6,L,0,19,34,2542,19,34,1,2
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,7,L,0,19,34,1091,19,34,1,2
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,8,L,0,19,34,2834,19,34,1,2
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,9,R,1,34,19,934,19,34,1,2
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,10,L,0,19,34,993,19,34,1,2
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,11,R,1,34,19,702,19,34,1,3
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,12,L,0,19,34,748,19,34,1,3
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,13,R,1,34,19,1051,19,34,1,3
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,14,R,1,34,19,953,19,34,1,3
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,15,L,0,60,23,853,60,23,1,3
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,16,R,1,34,19,710,19,34,1,4
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,17,R,1,34,19,628,19,34,1,4
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,18,R,1,34,19,904,19,34,1,4
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,19,R,1,34,19,851,19,34,1,4
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,20,R,1,34,19,796,19,34,1,4
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,21,R,1,23,60,979,60,23,1,5
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,22,R,1,23,60,713,60,23,1,5
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,23,R,1,34,19,775,19,34,1,5
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,24,R,1,34,19,694,19,34,1,5
60006,Rehovot,M,37,6,ByProb,160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,17,25,R,1,34,19,699,19,34,1,5
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,1,L,1,48,14,8179,14,48,0,1
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,2,L,1,24,39,1515,39,24,0,1
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,3,L,1,24,39,3774,39,24,0,1
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,4,L,1,24,14,1474,14,24,0,1
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,5,L,1,24,39,883,39,24,0,1
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,6,L,1,24,14,1773,14,24,1,2
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,7,L,1,48,39,1486,39,48,1,2
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,8,L,1,24,14,1383,14,24,1,2
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,9,L,1,24,14,718,14,24,1,2
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,10,L,1,24,39,1108,39,24,1,2
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,11,L,1,48,14,1292,14,48,1,3
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,12,L,1,48,14,1025,14,48,1,3
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,13,L,1,24,39,687,39,24,1,3
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,14,L,1,24,14,908,14,24,1,3
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,15,L,1,48,39,815,39,48,1,3
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,16,L,1,24,39,1214,39,24,1,4
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,17,L,1,24,39,882,39,24,1,4
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,18,L,1,24,14,884,14,24,1,4
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,19,L,1,24,14,862,14,24,1,4
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,20,L,1,48,39,991,39,48,1,4
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,21,L,1,48,14,788,14,48,1,5
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,22,L,1,24,39,732,39,24,1,5
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,23,L,1,24,39,746,39,24,1,5
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,24,L,1,24,39,2457,39,24,1,5
60006,Rehovot,M,37,6,ByProb,162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,16,25,L,1,24,39,811,39,24,1,5
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,1,L,1,9,-8,7453,-8,9,0,1
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,2,L,1,-14,-8,1259,-8,-14,0,1
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,3,L,1,6,-8,894,-8,6,0,1
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,4,L,1,-14,-8,833,-8,-14,0,1
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,5,L,1,-14,-8,993,-8,-14,0,1
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,6,L,1,-14,-8,1030,-8,-14,1,2
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,7,L,1,-14,-8,836,-8,-14,1,2
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,8,L,1,-14,-8,1029,-8,-14,1,2
60006,Rehovot,M,37,6,ByProb,171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,23,9,L,1,5,-8,707,-8,5,1,2
