GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,B.1,B.2,B.3,B.4,B.5,BEASTpred.1,BEASTpred.2,BEASTpred.3,BEASTpred.4,BEASTpred.5
11,19,1,19,1,0,0,0,1,20,0.9,-20,1,0,0,0,1,0,0,-3,12,-39,1,-19,0,1,0.8076,0.8064,0.0218,-0.0962,-0.0968,0,-3,-3,-8,0.1328,0.2192,0.208,0.1968,0.2064,0.10897,0.13591,0.14959,0.155,0.15665
12,0,1,0,1,0,0,0,1,50,0.5,-50,1,0,0,0,1,0,0,0,50,-50,50,0,0,1,0.0116,-0.0006,0.0116,0.0116,-0.0006,0,0,0,0,0.3376,0.4128,0.4304,0.4352,0.3808,0.4118,0.44751,0.45773,0.45768,0.46673
13,0,1,0,1,0,0,0,1,50,0.5,-50,1,0,0,0,1,0,0,0,50,-50,50,0,0,1,0.0138,0.0054,0.0138,0.0138,0.0054,0,0,0,0,0.3616,0.3696,0.4,0.3712,0.36,0.41431,0.44303,0.45949,0.45912,0.45867
14,0,1,0,1,0,0,0,1,1,0.5,-1,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,-0.006,-0.0034,-0.006,-0.006,-0.0034,0,0,0,0,0.4912,0.4512,0.4208,0.4064,0.376,0.47284,0.48211,0.48319,0.49148,0.48788
15,7,1,7,1,0,0,0,1,50,0.5,1,1,0,0,0,1,0,0,18.5,24.5,-6,43,18.5,0.142857143,1,-0.0056,0.0138,-0.0056,0,0,0,18.5,18.5,0,0.7824,0.8432,0.8784,0.8288,0.8464,0.99809,0.99808,0.99804,0.99841,0.9982
16,7,1,7,1,0,0,0,1,50,0.5,-1,1,0,0,0,1,0,0,17.5,25.5,-8,43,17.5,0,1,0.0004,0.014,0.0004,-0.4998,-0.493,0,17.5,17.5,-51,0.7072,0.7904,0.8128,0.832,0.8304,0.84601,0.89036,0.92119,0.93219,0.93704
17,30,1,30,1,0,0,0,1,50,0.5,1,1,0,0,0,1,0,0,-4.5,24.5,-29,20,-4.5,0.033333333,1,0.019,-0.009,0.019,0,0,0,-4.5,-4.5,0,0.2384,0.3296,0.3248,0.304,0.2896,0.25407,0.31821,0.31443,0.31289,0.31512
18,30,1,30,1,0,0,0,1,50,0.5,-1,1,0,0,0,1,0,0,-5.5,25.5,-31,20,-5.5,0,1,-0.0006,0.0016,-0.0006,-0.5003,-0.4992,0,-5.5,-5.5,-51,0.232,0.328,0.4032,0.3328,0.3328,0.202,0.27776,0.27473,0.27811,0.2786
19,9,1,9,1,0,0,0,1,9,1,9,0,0,0,1,8,0,0,0,26.17250466,-7,247,54.75,0.222222222,1,-0.7476,-0.7436,0.2554,0,0,0,0,0,0,0.3648,0.3872,0.3568,0.3088,0.2976,0.42572,0.36761,0.33313,0.32612,0.31896
20,9,1,9,1,0,0,0,1,9,1,9,0,0,0,1,8,0,0,0,26.17250466,-7,247,54.75,0.222222222,1,-0.7494,-0.7504,0.2376,0,0,0,0,0,0,0.376,0.376,0.392,0.3632,0.3616,0.42812,0.36456,0.33551,0.32253,0.31876
21,10,0.5,0,1,0,0,0,1,10,0.5,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,-0.1607,0.0094,0,-0.1607,0.0094,0,-1.666666667,-0.833333333,0,0.3728,0.416,0.4704,0.48,0.5072,0.44628,0.47559,0.48461,0.48959,0.4932
22,10,0.1,0,1,0,0,0,1,10,0.1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0.097,0.0004,0,0.097,0.0004,0,1,0.5,0,0.8208,0.8384,0.7824,0.7072,0.6592,0.79885,0.71343,0.65967,0.63217,0.60872
23,10,0.9,0,1,0,0,0,1,10,0.9,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,-0.4294,0.001,0,-0.4294,0.001,0,-4.333333333,-2.166666667,0,0.1456,0.1616,0.2576,0.3248,0.3184,0.17135,0.2606,0.32116,0.34852,0.37768
24,-2,1,-2,1,0,0,0,1,-1,0.5,-3,1,0,0,0,1,0,0,0,1,-1,1,0,0.666666667,-1,-0.0114,0.0172,-0.0114,0,0,0,0,0,0,0.4816,0.52,0.4784,0.4784,0.4496,0.4994,0.49704,0.50083,0.49728,0.49897
25,2,1,2,1,0,0,0,1,3,0.5,1,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,1,-0.0116,0.0246,-0.0116,0,0,0,0,0,0,0.4064,0.5008,0.4592,0.4624,0.4944,0.49775,0.49944,0.50017,0.498,0.49891
26,16,1,16,1,0,0,0,1,50,0.4,1,1,0,0,0,1,0,0,4.6,24.00499948,-15,34,9.5,0.0625,1,-0.2054,-0.2064,-0.0072,0,0,0,4.6,4.6,0,0.4992,0.6528,0.6112,0.5968,0.5456,0.55557,0.52781,0.56064,0.5694,0.57567
27,16,1,16,1,0,0,0,1,48,0.4,1,0,0,1,0,3,0,0,3.8,23.07726154,-15,34,19.75,0.0625,1,-0.1982,-0.1896,0.4956,0,0,0,3.8,3.8,0,0.504,0.568,0.6,0.5776,0.5728,0.60211,0.56095,0.57879,0.58559,0.58525
28,6,0.5,0,1,0,0,0,1,9,0.5,0,1,0,0,0,1,0,-1,1.5,1.5,0,3,1.5,1,1,0.5055,0,0.5055,0,0,1,1.5,1.5,0,0.9088,0.8656,0.8256,0.8464,0.8432,1,0.70516,0.67627,0.68711,0.68692
29,2,1,2,1,0,0,0,1,3,1,3,1,0,0,0,1,0,0,1,0,1,1,1,0.666666667,1,1,1,1,0,0,1,1,1,0,0.9664,0.9824,0.9904,0.9888,0.9952,1,1,1,1,1
30,6,0.5,0,1,0,0,0,1,8,0.5,0,1,0,0,0,1,0,1,1,1,0,2,1,1,1,0.5031,0.4973,0.5031,0,0,1,1,1,0,0.9424,0.9648,0.9632,0.976,0.9792,1,1,1,1,1
31,4,1,4,1,0,0,0,1,40,0.6,-44,1,0,0,0,1,1,0,2.4,41.15142768,-48,36,-6,0,1,-0.2742,0.2036,0.0032,-0.6371,-0.3982,0,-18,-7.8,-67.2,0.232098765,0.308641975,0.343209877,0.407407407,0.365432099,0.24829,0.39256,0.43407,0.45497,0.46955
32,24,0.75,-4,1,0,0,0,1,82,0.25,3,1,0,0,0,1,0,0,5.75,22.0836478,7,58,32.5,0,1,-0.0022,-0.1182,1,0.244,0.2437,0,5.75,5.75,43,0.681481481,0.683950617,0.674074074,0.669135802,0.686419753,0.78339,0.66397,0.62923,0.61981,0.61933
33,-3,1,-3,1,0,0,0,1,14,0.4,-22,1,0,0,0,1,0,0,-4.6,17.63632615,-19,17,-1,0.136363636,1,-0.2184,-0.1918,-0.0214,0.3908,0.4041,0,-4.6,-4.6,28.8,0.325925926,0.279012346,0.30617284,0.24691358,0.219753086,0.34391,0.33881,0.31581,0.30951,0.30993
34,7,1,7,1,0,0,0,1,27,0.1,4,0,1,0,0,3,0,0,-0.7,6.903622238,-3,21,14.25,0.571428571,1,-0.7964,-0.8036,0.4976,0,0,0,-0.7,-0.7,0,0.387654321,0.44691358,0.427160494,0.412345679,0.402469136,0.56183,0.47248,0.42197,0.40896,0.39992
35,-5,1,-5,1,0,0,0,1,47,0.01,-15,1,0,0,0,1,0,0,-9.38,6.16892211,-10,52,21,0.333333333,1,-0.979,-0.9786,0.0146,0.0105,0.0107,0,-9.38,-9.38,1.24,0.175308642,0.088888889,0.041975309,0.027160494,0.049382716,0.24441,0.17539,0.13077,0.11624,0.1082
36,28,1,28,1,0,0,0,1,88,0.6,-46,0,0,0,1,3,0,0,6.4,65.67373904,-74,64,27,0,1,0.2054,0.1866,0.5004,-0.3973,-0.4067,0,6.4,6.4,-110.4,0.392592593,0.545679012,0.558024691,0.602469136,0.567901235,0.45981,0.51532,0.53105,0.53997,0.54328
37,23,0.9,0,1,0,0,0,1,64,0.4,-7,1,0,0,0,1,0,0,0.7,27.88275435,-7,41,17,0,1,-0.2096,-0.2024,-0.0036,-0.6048,-0.5599,0,0.7,0.7,-78.1,0.380246914,0.409876543,0.419753086,0.367901235,0.372839506,0.3974,0.41923,0.44744,0.45163,0.46196
38,24,1,24,1,0,0,0,1,34,0.05,28,1,0,0,0,1,0,0,4.3,1.307669683,4,10,7,0.857142857,1,1,1,1,0,0,1,4.3,4.3,0,0.908641975,0.977777778,0.990123457,1,1,1,1,1,1,1
39,29,1,29,1,0,0,0,1,33,0.8,6,0,1,0,0,5,0,0,-1.4,10.83697375,-23,6,-0.5,0.206896552,1,0.6148,0.5964,0.6838,0,0,0,-1.4,-1.4,0,0.498765432,0.688888889,0.696296296,0.683950617,0.664197531,0.42351,0.47988,0.48835,0.48841,0.48972
40,3,0.8,-37,1,0,0,0,1,79,0.4,-46,0,0,1,0,7,0,0,9,46.26716631,-9,82,55.625,0.804347826,1,-0.2172,-0.217,0.501,-0.4116,-0.4125,0,9,9,-106.4375,0.486419753,0.535802469,0.604938272,0.6,0.562962963,0.68164,0.62409,0.61772,0.61928,0.61357
41,29,1,29,1,0,0,0,1,44,0.4,21,0,1,0,0,5,0,0,1.2,11.28538878,-8,17,11.16666667,0.724137931,1,-0.2054,-0.19,0.6652,0,0,0,1.2,1.2,0,0.683950617,0.730864198,0.743209877,0.679012346,0.67654321,0.70948,0.635,0.61928,0.61701,0.61119
42,-6,1,-6,1,0,0,0,1,54,0.1,-21,1,0,0,0,1,1,0,-7.5,22.5,-15,60,22.5,0.285714286,1,-0.5304,-0.8022,0.0068,0.2348,0.0989,0,2.5,-2.5,15,0.604938272,0.47654321,0.254320988,0.227160494,0.197530864,0.69092,0.43757,0.31271,0.27993,0.2642
43,14,1,14,1,0,0,0,1,12,0.9,9,1,0,0,0,1,0,0,-2.3,0.9,-5,-2,-3.5,0.642857143,1,-1,-1,-1,0,0,-1,-2.3,-2.3,0,0.128395062,0.044444444,0.002469136,0,0.004938272,0,0,0,0,0
44,23,1,23,1,0,0,0,1,24,0.99,-33,1,0,0,0,1,0,0,0.43,5.671428392,-56,1,-27.5,0,1,0.98,0.9788,0.013,-0.01,-0.0106,0,0.43,0.43,-1.14,0.274074074,0.437037037,0.469135802,0.49382716,0.466666667,0.39577,0.48061,0.54283,0.56007,0.57059
45,13,1,13,1,0,0,0,1,13,1,13,0,1,0,0,9,0,0,0,1.414213562,-4,4,0,0.692307692,1,-0.0069,-0.0019,-0.0041,0,0,0,0,0,0,0.496296296,0.558024691,0.585185185,0.533333333,0.52345679,0.50181,0.50109,0.50232,0.50133,0.49739
46,37,0.01,9,1,0,0,0,1,30,0.6,-37,1,0,0,0,1,0,0,-6.08,30.03719773,-46,-7,-26.5,0,1,0.1974,0.194,-1,-0.3921,-0.3967,0,-6.08,-6.08,-59.2,0.2,0.269135802,0.271604938,0.30617284,0.301234568,0.1862,0.29333,0.31113,0.31445,0.32268
47,11,1,11,1,0,0,0,1,57,0.2,-5,0,0,1,0,6,0,0,-3.6,25.36217656,-16,51,25.14285714,0,1,-0.6278,-0.6128,0.4132,-0.8139,-0.8064,0,-3.6,-3.6,-107.61875,0.214814815,0.195061728,0.209876543,0.158024691,0.145679012,0.26757,0.26405,0.27317,0.27845,0.28261
48,-2,1,-2,1,0,0,0,1,24,0.5,-24,1,0,0,0,1,1,0,2,24,-22,26,2,0.083333333,1,-0.3544,-0.0086,0.0164,0.3228,0.4957,0,-6.666666667,-2.333333333,48,0.390123457,0.49382716,0.516049383,0.44691358,0.419753086,0.52065,0.52024,0.54205,0.55101,0.55461
49,23,1,23,1,0,0,0,1,23,1,23,0,1,0,0,3,0,0,0,0.707106781,-1,1,0,0.956521739,1,-0.0148,-0.0096,-0.0169,0,0,0,0,0,0,0.538271605,0.496296296,0.49382716,0.483950617,0.47654321,0.4962,0.5016,0.49989,0.4996,0.50201
50,4,1,4,1,0,0,0,1,4,1,4,0,1,0,0,9,0,0,0,1.414213562,-4,4,0,0,1,0.0063,0.0051,0.0073,-0.0041,-0.0054,0,0,0,-0.03125,0.437037037,0.656790123,0.597530864,0.57037037,0.572839506,0.41849,0.44657,0.45919,0.46516,0.46737
51,42,0.8,-18,1,0,0,0,1,68,0.2,23,1,0,0,0,1,0,0,2,-6,41,26,33.5,0,1,-0.1884,-0.2968,1,0.2036,0.1975,0,2,2,34.4,0.792592593,0.708641975,0.735802469,0.716049383,0.703703704,0.78291,0.65601,0.62115,0.60879,0.60241
52,46,0.2,0,1,0,0,0,1,46,0.25,-2,1,0,0,0,1,0,0,0.8,2.384609691,-2,0,-1,0,1,-0.6912,-0.5511,-0.4998,-0.6912,-0.5511,0,0.8,0.8,-33.6,0.362962963,0.261728395,0.254320988,0.222222222,0.217283951,0.33647,0.38339,0.41013,0.4182,0.42097
53,28,1,28,1,0,0,0,1,42,0.75,-22,1,0,0,0,1,0,0,-2,27.71281292,-50,14,-18,0,1,0.4996,0.4956,0.0052,-0.2502,-0.2522,0,-2,-2,-32,0.355555556,0.427160494,0.417283951,0.414814815,0.414814815,0.33211,0.44063,0.46735,0.47577,0.48491
54,18,1,18,1,0,0,0,1,64,0.5,-33,1,0,0,0,1,0,0,-2.5,48.5,-51,46,-2.5,0,1,-0.0238,0.0096,-0.0238,-0.5119,-0.4952,0,-2.5,-2.5,-97,0.320987654,0.296296296,0.308641975,0.320987654,0.286419753,0.26196,0.34163,0.35907,0.36201,0.36856
55,43,0.2,19,1,0,0,0,1,22,0.25,17,0,1,0,0,9,0,-1,-5.550000056,-7.322391638,-2,-17,-9.5,0.894736842,1,-0.9027,-0.5124,-0.503,0,0,0,-5.550000056,-5.550000056,-5.20E-08,0.204938272,0.158024691,0.09382716,0.074074074,0.069135802,0.033613,0.05108,0.053747,0.052067,0.05284
56,-8,1,-8,1,0,0,0,1,-5,0.99,-34,1,0,0,0,1,0,0,2.71,2.885463568,-26,3,-11.5,0.235294118,-1,0.982,0.9818,-0.0116,0,0,0,2.71,2.71,0,0.762962963,0.881481481,0.90617284,0.901234568,0.89382716,0.64635,0.72573,0.77464,0.78921,0.80136
57,49,0.5,-3,1,0,0,0,1,33,0.95,17,0,1,0,0,9,0,-1,9.200000107,-22.25033334,20,-12,8.4,0,1,-0.0072,0.0012,-0.0072,0.4964,0.5006,0,9.200000107,9.200000107,52.00000016,0.767901235,0.708641975,0.698765432,0.730864198,0.748148148,0.83765,0.75183,0.74921,0.74981,0.75052
58,85,0.4,-7,1,0,0,0,1,40,0.25,24,1,0,0,0,1,0,0,-1.8,-38.14240804,31,-45,-7,0,1,0.193,0.2016,0.0048,0.5965,0.6008,0,-1.8,-1.8,110.4,0.602469136,0.511111111,0.520987654,0.540740741,0.558024691,0.64399,0.60233,0.56831,0.55937,0.55191
59,17,0.25,16,1,0,0,0,1,43,0.4,2,1,0,0,0,1,0,0,2.15,19.65280319,-14,26,6,0.125,1,-0.2012,-0.185,-0.0038,0,0,0,2.15,2.15,0,0.511111111,0.52345679,0.520987654,0.49382716,0.486419753,0.52608,0.50389,0.53124,0.5402,0.53948
60,51,0.1,21,1,0,0,0,1,38,0.6,1,1,0,0,0,1,0,0,-0.8,9.126224097,-20,-13,-16.5,0.047619048,1,0.0054,0.0742,-1,0,0,0,-0.8,-0.8,0,0.365432099,0.377777778,0.340740741,0.29382716,0.301234568,0.25913,0.35841,0.39651,0.40403,0.40709
61,26,0.25,25,1,0,0,0,1,29,0.05,24,0,0,0,1,7,0,0,-1,3.700690239,-2,123,27.625,0.92,1,-0.9714,-0.9674,0.3813,0,0,0,-1,-1,-1.42E-14,0.6675,0.6175,0.6175,0.6025,0.555,0.4854,0.41116,0.36081,0.34229,0.33553
62,25,1,25,1,0,0,0,1,45,0.2,17,1,0,0,0,1,0,0,-2.4,11.2,-8,20,6,0.68,1,-0.6062,-0.5984,-0.001,0,0,0,-2.4,-2.4,0,0.3225,0.3175,0.3475,0.3375,0.3375,0.38473,0.3368,0.31539,0.30871,0.30517
63,17,1,17,1,0,0,0,1,60,0.1,15,0,1,0,0,5,0,0,2.5,13.5037032,-2,45,35.5,0.882352941,1,-0.7962,-0.803,0.6594,0,0,0,2.5,2.5,0,0.6775,0.6975,0.67,0.66,0.69,0.83428,0.78684,0.75644,0.74955,0.74637
64,52,0.1,-8,1,0,0,0,1,5,0.9,-43,1,0,0,0,1,1,0,2.2,-3.6,-35,-47,-41,0.186046512,1,-0.3046,0.631,-1,0.3477,0.8041,0,-19.33333333,-8.566666667,152,0.3525,0.55,0.7,0.7225,0.675,0.28873,0.46795,0.53577,0.55847,0.5744
65,12,0.4,-16,1,0,0,0,1,-5,1,-5,1,0,0,0,1,0,0,-0.2,-13.71714256,11,-17,-3,0.3125,1,0.201,0.1958,0,-0.3995,-0.4021,0,-0.2,-0.2,-22.4,0.325,0.3975,0.435,0.4475,0.45,0.45031,0.49828,0.49132,0.495,0.49611
66,45,0.6,2,1,0,0,0,1,54,0.1,20,0,0,1,0,5,0,0,-4.4,-10.58515378,18,13,19.5,0.1,1,-0.0212,-0.0942,1,0,0,0,-4.4,-4.4,0,0.43,0.345,0.3975,0.4375,0.4275,0.53755,0.48619,0.42363,0.40611,0.39787
67,85,0.25,4,1,0,0,0,1,54,0.25,11,1,0,0,0,1,0,1,-2.5,-16.45448267,7,-31,-12,0.363636364,1,0.503,0.4952,0.0064,0,0,0,-2.5,-2.5,0,0.445,0.47,0.46,0.4775,0.43,0.42345,0.48757,0.49064,0.48859,0.48925
68,12,1,12,1,0,0,0,1,102,0.2,-14,1,0,0,0,1,0,0,-2.8,46.4,-26,90,32,0,1,-0.6158,-0.593,-0.022,-0.8079,-0.7965,0,-2.8,-2.8,-185.6,0.3875,0.27,0.2925,0.32,0.305,0.26519,0.26772,0.29467,0.30297,0.3076
69,49,0.5,11,1,0,0,0,1,31,0.95,21,0,1,0,0,3,1,0,0.5,-16.71417411,10,-17,-1.5,0.523809524,1,0.0096,-0.007,0.0096,0,0,0,-3.5,-1.5,0,0.3875,0.285,0.37,0.4025,0.445,0.43116,0.47215,0.48991,0.49981,0.50544
70,18,1,18,1,0,0,0,1,35,0.75,-19,1,0,0,0,1,0,0,3.5,23.3826859,-37,17,-10,0,1,0.4962,0.504,-0.007,-0.2519,-0.248,0,3.5,3.5,-27,0.38,0.5475,0.5775,0.5975,0.5825,0.44525,0.5426,0.58171,0.59221,0.59913
71,13,0.6,-20,1,0,0,0,1,76,0.2,-26,1,0,0,0,1,0,0,-5.4,24.6333677,-6,63,28.5,0.769230769,1,-0.6046,-0.5904,-0.0062,-0.4006,-0.3958,0,-5.4,-5.4,-81.6,0.3775,0.2525,0.2875,0.23,0.28,0.37793,0.33993,0.33743,0.33249,0.32964
72,-9,1,-9,1,0,0,0,1,13,0.25,-8,1,0,0,0,1,0,0,6.25,9.09326674,1,22,11.5,0.888888889,1,1,1,1,0.2504,0.2422,1,6.25,6.25,11,0.8225,0.9575,0.995,1,1,1,1,1,1,1
73,2,1,2,1,0,0,0,1,51,0.05,0,0,1,0,0,7,0,0,0.55,11.11856555,-2,52,42.625,0,1,-0.8964,-0.8948,0.7492,-0.9482,-0.9474,0,0.55,0.55,-51.3,0.37,0.3825,0.39,0.39,0.4125,0.39464,0.37632,0.37523,0.37372,0.37243
74,44,0.05,16,1,0,0,0,1,14,0.9,10,0,1,0,0,3,1,0,-3.8,-4.727685812,-6,-29,-17,0.625,1,-1,-1,-1,0,0,-1,-3.933333333,-3.866666667,0,0.1325,0.05,0.015,0.0025,0.0025,0,0,0,0,0
75,13,1,13,1,0,0,0,1,50,0.6,-45,1,0,0,0,1,0,0,-1,46.54030511,-58,37,-10.5,0,1,0.2006,0.1854,-0.001,-0.3997,-0.4073,0,-1,-1,-76,0.3525,0.4375,0.415,0.4375,0.495,0.31193,0.40356,0.42587,0.42972,0.43865
76,35,0.01,16,1,0,0,0,1,20,0.5,13,0,1,0,0,5,1,0,0.31,1.680238084,-3,-13,-6.666666667,0.8125,1,-0.1688,-0.0096,-0.3296,0,0,0,-0.182222222,0.063888889,0,0.6775,0.7075,0.705,0.6825,0.6425,0.51259,0.50916,0.52611,0.52691,0.52485
77,1,1,1,1,0,0,0,1,38,0.4,-9,1,0,0,0,1,0,0,8.8,23.02520358,-10,37,13.5,0,1,-0.2046,-0.2102,-0.0042,-0.6023,-0.6051,0,8.8,8.8,-56.4,0.645,0.6625,0.6525,0.6025,0.625,0.57512,0.59349,0.64097,0.65117,0.65953
78,19,1,19,1,0,0,0,1,44,0.05,9,1,0,0,0,1,0,0,-8.25,7.628073151,-10,25,7.5,0.473684211,1,-0.902,-0.8996,0.0034,0,0,0,-8.25,-8.25,0,0.105,0.1175,0.1075,0.1425,0.12,0.17393,0.12867,0.097013,0.08652,0.08256
79,32,0.01,19,1,0,0,0,1,65,0.01,9,1,0,0,0,1,0,0,-9.57,4.27844598,-10,33,11.5,0.473684211,1,-0.9786,-0.9778,-0.0004,0,0,0,-9.57,-9.57,0,0.14,0.0725,0.035,0.015,0.015,0.18988,0.12939,0.09408,0.084707,0.077347
80,3,1,3,1,0,0,0,1,50,0.4,-36,1,0,0,0,1,0,0,-4.6,42.13122358,-39,47,4,0,1,-0.1952,-0.1958,0.0018,-0.5976,-0.5979,0,-4.6,-4.6,-103.2,0.4675,0.3725,0.4125,0.405,0.425,0.23895,0.29809,0.30652,0.31529,0.31407
81,10,0.25,2,1,0,0,0,1,-1,0.9,-32,1,0,0,0,1,1,0,-8.1,5.835898385,-34,-11,-22.5,0,1,-1,-1,-1,-1,-1,-1,-18.83333333,-13.46666667,-84,0.1375,0.035,0.0125,0.0125,0.0125,0,0,0,0,0
82,25,1,25,1,0,0,0,1,26,0.01,25,0,1,0,0,7,1,0,0.01,0.157797338,-2,4,1,0.92,1,-0.2941,0.0061,0.2733,0,0,0,-0.333333333,-0.161666667,0,0.5475,0.72,0.7725,0.805,0.82,0.61275,0.60401,0.58376,0.56849,0.56053
83,9,1,9,1,0,0,0,1,64,0.01,9,1,0,0,0,1,0,0,0.55,5.472430904,0,55,27.5,1,1,0.009,0.0084,0.5006,0,0,1,0.55,0.55,0,0.865,0.96,0.9825,0.9825,0.985,1,1,1,1,1
84,27,1,27,1,0,0,0,1,22,0.99,-7,1,0,0,0,1,0,0,-5.29,2.885463568,-34,-5,-19.5,0,1,-1,-1,-1,-0.0113,-0.0116,-1,-5.29,-5.29,-0.68,0.0775,0.015,0,0.0025,0.0025,0,0,0,0,0
85,20,1,20,1,0,0,0,1,70,0.25,6,1,0,0,0,1,0,0,2,27.71281292,-14,50,18,0.3,1,-0.486,-0.499,0.0044,0,0,0,2,2,0,0.4275,0.4525,0.4875,0.46,0.4375,0.49817,0.43891,0.44047,0.44392,0.44607
86,71,0.5,-11,1,0,0,0,1,61,0.75,-49,1,0,0,0,1,1,0,3.5,6.631397208,-38,-10,-24,0.224489796,1,-1,-0.2248,-1,-0.0931,0.2706,0,-34.33333333,-15.41666667,60,0.13,0.23,0.3025,0.315,0.2525,0.08276,0.30532,0.40064,0.42228,0.43681
87,-2,1,-2,1,0,0,0,1,4,0.99,-34,0,1,0,0,7,0,0,5.62,3.972480333,-32,9,1.25,0.058823529,1,0.9788,0.9806,0.7536,0.9894,0.9903,0,5.62,5.62,81.18,0.805,0.955,0.98,0.96,0.975,0.78695,0.83385,0.87107,0.88103,0.88757
88,17,0.05,-7,1,0,0,0,1,13,0.25,-15,1,0,0,0,1,1,0,-2.2,6.893676921,-8,-4,-6,0.466666667,1,-0.5472,-0.5284,-1,0.2264,0.1977,0,-1.466666667,-1.833333333,12.8,0.68,0.5725,0.5125,0.4425,0.37,0.49211,0.36672,0.35007,0.34277,0.33155
89,17,1,17,1,0,0,0,1,44,0.1,17,1,0,0,0,1,0,0,2.7,8.1,0,27,13.5,1,1,0.1012,0.0927,0.5014,0,0,1,2.7,2.7,0,0.88,0.955,0.9925,1,1,1,1,1,1,1
