Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
40,0.25,-17,-,1,5,0.8,-34,Symm,7,0,0
53,0.05,17,-,1,28,0.05,11,R-skew,2,0,0
20,0.8,-18,-,1,12,1,12,L-skew,4,0,0
1,1,1,-,1,93,0.2,-33,-,1,0,0
10,1,10,-,1,12,0.9,-15,Symm,7,0,0
10,1,10,-,1,41,0.25,-3,-,1,0,1
69,0.6,-48,L-skew,5,55,0.1,34,-,1,0,0
24,1,24,-,1,39,0.25,23,-,1,0,0
11,0.75,-30,R-skew,2,-1,0.4,-9,Symm,3,0,0
6,1,6,-,1,20,0.8,16,L-skew,3,0,0
32,0.1,8,-,1,33,0.05,7,Symm,3,0,0
82,0.25,6,Symm,5,73,0.01,26,-,1,0,0
-4,0.9,-24,-,1,27,0.6,-38,L-skew,4,0,0
14,1,14,-,1,181,0.1,-7,-,1,0,0
21,1,21,-,1,43,0.4,16,-,1,0,1
32,0.5,-8,L-skew,3,49,0.4,-19,Symm,5,0,0
52,0.4,14,-,1,30,0.99,-30,Symm,7,0,0
16,1,16,-,1,44,0.4,-6,L-skew,2,0,0
10,1,10,-,1,29,0.8,-35,-,1,0,0
26,1,26,-,1,57,0.6,-6,-,1,0,0
65,0.4,7,-,1,79,0.1,28,-,1,0,0
10,1,10,-,1,67,0.4,-14,-,1,0,0
12,0.6,-25,-,1,7,0.25,-15,-,1,0,0
6,1,6,-,1,62,0.2,-7,-,1,0,0
9,1,9,-,1,9,1,9,R-skew,7,0,1
9,1,9,-,1,46,0.1,1,R-skew,7,0,0
13,1,13,-,1,13,0.95,-5,L-skew,6,0,0
10,1,10,-,1,58,0.4,-13,L-skew,2,0,1
22,0.95,3,-,1,63,0.5,-6,L-skew,2,1,0
16,1,16,-,1,101,0.05,11,-,1,0,1
23,1,23,-,1,187,0.2,-15,Symm,3,0,0
5,1,5,-,1,20,0.5,-24,R-skew,4,0,0
21,1,21,-,1,109,0.4,-41,L-skew,6,0,0
30,0.6,-43,-,1,15,0.4,-14,Symm,5,0,0
27,0.25,19,Symm,9,47,0.5,8,-,1,0,1
12,0.05,-1,R-skew,4,11,0.5,-12,Symm,3,0,0
27,0.25,-2,-,1,49,0.2,-9,-,1,0,0
63,0.6,-27,-,1,40,0.01,19,-,1,0,1
20,0.95,-2,-,1,54,0.01,14,-,1,0,0
92,0.5,-46,-,1,23,1,23,Symm,7,0,0
-4,1,-4,-,1,-4,1,-4,Symm,7,0,0
60,0.4,-50,-,1,-13,0.8,-45,-,1,0,0
5,1,5,-,1,21,0.2,6,-,1,0,0
28,0.4,25,-,1,72,0.25,26,-,1,-1,0
-8,0.95,-26,-,1,-5,0.4,-13,R-skew,7,0,0
15,1,15,-,1,15,0.5,10,R-skew,6,0,0
60,0.25,-1,-,1,26,0.5,6,-,1,0,0
177,0.2,-33,-,1,32,0.01,12,Symm,5,0,1
35,0.05,29,-,1,92,0.1,25,-,1,0,0
30,0.4,2,Symm,5,104,0.05,11,-,1,0,0
-1,1,-1,-,1,50,0.4,-20,R-skew,5,0,0
0,1,0,-,1,30,0.6,-47,L-skew,4,0,0
57,0.25,-26,L-skew,6,-5,1,-5,-,1,0,0
39,0.25,-24,-,1,-8,1,-8,R-skew,7,0,0
2,1,2,-,1,43,0.1,-1,-,1,0,0
11,0.1,-1,-,1,4,0.5,-13,-,1,0,0
11,0.05,11,L-skew,2,51,0.01,8,Symm,7,0,0
16,1,16,-,1,16,0.6,8,Symm,7,0,1
-7,1,-7,-,1,80,0.01,-2,-,1,0,0
28,1,28,-,1,47,0.25,27,-,1,0,1
18,1,18,-,1,43,0.5,3,R-skew,4,0,0
27,1,27,-,1,42,0.6,-2,-,1,0,0
26,1,26,L-skew,6,20,0.95,16,Symm,5,0,0
10,1,10,-,1,79,0.05,3,R-skew,5,0,0
47,0.01,7,-,1,7,0.95,-2,-,1,0,0
20,1,20,-,1,62,0.01,29,-,1,0,0
7,0.2,-2,-,1,74,0.01,-2,Symm,9,-1,0
-1,1,-1,-,1,3,0.6,-1,R-skew,3,0,0
4,1,4,-,1,21,0.01,9,-,1,0,0
-4,1,-4,L-skew,2,-3,0.75,-10,-,1,0,0
38,0.6,-20,Symm,3,78,0.5,-36,R-skew,4,0,1
14,1,14,-,1,42,0.75,-39,-,1,0,0
-3,1,-3,-,1,-3,1,-3,R-skew,7,0,1
12,1,12,-,1,189,0.01,12,-,1,0,0
29,0.05,7,-,1,28,0.25,8,-,1,0,0
16,1,16,-,1,60,0.6,-43,-,1,0,0
15,1,15,-,1,233,0.05,6,-,1,0,1
14,0.9,-6,-,1,36,0.5,-18,R-skew,7,-1,1
17,1,17,-,1,80,0.05,18,Symm,5,0,0
-10,1,-10,-,1,10,0.25,-14,Symm,3,0,0
14,1,14,-,1,24,0.8,-13,Symm,9,0,0
3,1,3,-,1,56,0.01,-0,Symm,7,0,0
20,1,20,-,1,31,0.6,-2,Symm,3,0,1
16,0.05,-4,-,1,44,0.4,-20,Symm,7,0,0
-1,1,-1,-,1,-1,1,-1,L-skew,2,0,0
5,0.75,1,-,1,37,0.1,-5,-,1,0,0
-8,1,-8,-,1,0,0.6,-15,-,1,0,1
19,0.75,-29,-,1,15,0.4,7,L-skew,4,0,0
17,1,17,-,1,21,0.05,20,R-skew,7,0,0
55,0.25,11,Symm,9,17,0.6,16,-,1,0,0
70,0.2,-11,-,1,17,0.75,-17,R-skew,6,0,0
15,1,15,-,1,18,0.9,3,-,1,0,0
143,0.1,-17,-,1,12,0.8,3,-,1,0,1
8,1,8,-,1,8,1,8,R-skew,3,0,1
1,0.95,-14,-,1,20,0.05,1,-,1,0,0
1,1,1,-,1,18,0.8,-33,L-skew,2,0,0
-6,1,-6,-,1,-6,1,-6,R-skew,3,0,0
25,0.8,24,-,1,138,0.1,13,L-skew,7,0,1
62,0.2,-12,-,1,3,0.01,2,-,1,-1,0
-5,0.75,-22,-,1,-12,0.99,-31,-,1,0,0
15,1,15,-,1,45,0.5,-26,-,1,0,0
13,1,13,-,1,26,0.2,22,-,1,0,1
26,0.8,-49,-,1,34,0.5,-17,-,1,0,0
24,0.25,-8,Symm,7,18,0.01,1,-,1,0,0
25,1,25,-,1,40,0.4,15,-,1,0,1
91,0.25,-5,L-skew,7,21,0.95,-29,Symm,5,0,1
23,0.9,19,R-skew,3,55,0.6,-41,Symm,9,0,0
27,1,27,-,1,32,0.4,15,Symm,7,0,0
26,1,26,-,1,60,0.05,22,R-skew,5,0,0
-10,1,-10,-,1,9,0.01,-11,Symm,7,0,0
1,1,1,-,1,117,0.25,-41,Symm,7,0,0
5,1,5,-,1,65,0.01,4,Symm,5,0,0
44,0.05,23,-,1,34,0.75,13,-,1,-1,0
16,1,16,-,1,84,0.25,-7,-,1,0,1
-2,1,-2,-,1,-2,1,-2,L-skew,2,0,0
82,0.25,6,-,1,116,0.25,-17,R-skew,7,0,0
4,1,4,-,1,-4,0.75,-9,R-skew,3,0,0
-4,1,-4,-,1,6,0.5,-6,-,1,0,0
14,0.2,-11,-,1,2,0.75,-0,R-skew,4,0,1
92,0.25,8,-,1,53,0.4,25,R-skew,3,-1,0
24,1,24,-,1,79,0.4,-8,Symm,5,0,0
18,0.8,-5,L-skew,5,18,0.9,-17,Symm,5,0,0
250,0.05,-10,Symm,7,82,0.05,3,Symm,9,0,0
32,0.25,15,R-skew,2,60,0.2,13,-,1,0,0
31,0.25,12,-,1,72,0.25,-2,Symm,5,0,0
13,0.5,-1,R-skew,3,65,0.2,-14,R-skew,6,0,0
-5,1,-5,-,1,3,0.8,-35,Symm,9,0,0
24,1,24,Symm,3,29,0.9,19,-,1,0,0
28,0.6,8,-,1,20,1,20,L-skew,4,0,0
22,0.25,17,-,1,103,0.25,-12,-,1,0,1
76,0.05,24,-,1,70,0.4,2,-,1,1,0
-10,1,-10,-,1,35,0.4,-29,Symm,7,0,0
26,1,26,-,1,28,0.25,23,-,1,0,0
-8,1,-8,-,1,-8,1,-8,Symm,3,0,0
197,0.25,-47,-,1,45,0.25,-3,-,1,1,1
30,0.9,18,-,1,67,0.1,33,-,1,0,1
7,1,7,-,1,140,0.25,-34,Symm,3,0,0
-2,1,-2,-,1,-4,0.99,-35,-,1,0,0
18,1,18,-,1,44,0.25,3,Symm,5,0,0
37,0.05,18,L-skew,4,30,0.4,7,Symm,3,0,0
17,0.95,-3,L-skew,6,16,1,16,-,1,0,0
63,0.25,-9,-,1,15,0.8,-42,-,1,0,0
36,0.4,-36,-,1,-7,0.95,-36,Symm,5,0,0
14,1,14,-,1,100,0.2,-12,-,1,0,1
11,0.75,-2,-,1,69,0.25,-8,-,1,0,1
21,0.95,9,L-skew,5,20,1,20,L-skew,2,0,0
-9,1,-9,R-skew,8,-4,0.9,-23,-,1,0,0
11,0.5,-25,L-skew,3,36,0.1,-19,R-skew,5,0,1
28,0.8,-30,-,1,53,0.1,10,-,1,0,0
-3,0.5,-5,Symm,3,34,0.25,-5,Symm,3,1,0
65,0.25,-3,-,1,43,0.1,1,-,1,0,0
18,1,18,-,1,112,0.25,-19,-,1,0,0
51,0.6,-21,Symm,9,22,1,22,-,1,0,0
18,0.1,-2,Symm,9,39,0.5,-31,-,1,0,1
152,0.05,12,L-skew,4,24,0.6,6,Symm,7,0,0
26,1,26,-,1,72,0.1,16,Symm,7,0,0
11,1,11,-,1,47,0.5,-36,Symm,5,0,0
46,0.5,-8,Symm,3,15,0.8,-2,-,1,1,1
47,0.25,-22,-,1,9,0.8,-36,Symm,3,0,0
86,0.05,3,L-skew,7,4,0.99,-21,-,1,0,0
54,0.01,29,-,1,81,0.25,16,-,1,0,0
23,0.8,12,-,1,39,0.25,10,-,1,0,0
13,0.75,-11,-,1,16,0.25,15,-,1,0,0
13,0.5,-5,-,1,10,0.01,5,R-skew,6,0,0
8,0.4,-4,-,1,15,0.05,-1,-,1,0,0
74,0.5,-30,Symm,7,22,0.95,-4,Symm,7,0,0
18,0.8,-32,-,1,137,0.05,5,Symm,3,0,0
19,0.95,-37,-,1,39,0.6,-14,-,1,-1,0
13,1,13,-,1,44,0.1,20,Symm,3,0,1
4,1,4,-,1,65,0.4,-31,Symm,3,0,0
-9,1,-9,-,1,2,0.05,-24,L-skew,3,0,0
44,0.4,-6,-,1,54,0.5,-15,-,1,0,0
24,1,24,-,1,79,0.6,-47,Symm,9,0,0
14,0.05,-1,L-skew,6,54,0.01,-1,-,1,0,0
87,0.2,-19,-,1,11,0.6,-4,R-skew,7,0,1
18,0.2,13,-,1,27,0.6,-3,Symm,5,0,0
15,0.99,-5,-,1,27,0.8,-16,-,1,0,1
19,1,19,-,1,79,0.25,-4,-,1,0,0
8,1,8,-,1,82,0.01,9,Symm,5,0,0
29,0.5,13,-,1,104,0.2,2,-,1,1,0
13,0.5,-23,-,1,-2,0.6,-21,-,1,0,1
-10,1,-10,-,1,-11,0.75,-18,-,1,0,1
-7,1,-7,-,1,-8,0.01,-11,L-skew,5,0,1
-7,1,-7,-,1,22,0.1,-9,Symm,9,0,0
96,0.2,-30,R-skew,7,6,0.6,-16,-,1,0,0
18,0.75,-30,-,1,78,0.25,-11,-,1,0,0
45,0.5,-27,L-skew,6,49,0.1,1,-,1,-1,0
8,0.25,4,-,1,54,0.5,-40,L-skew,6,0,0
24,0.99,8,Symm,5,35,0.6,26,Symm,3,0,0
9,1,9,R-skew,6,45,0.05,4,L-skew,2,0,0
-2,1,-2,-,1,18,0.4,-9,-,1,0,0
-5,1,-5,-,1,0,0.05,-10,Symm,9,0,0
10,1,10,-,1,41,0.1,4,-,1,0,0
30,1,30,-,1,37,0.6,29,-,1,0,0
5,1,5,-,1,14,0.4,-4,R-skew,7,0,1
48,0.05,8,-,1,38,0.1,4,L-skew,2,0,1
-1,1,-1,-,1,13,0.05,5,-,1,0,0
84,0.01,-7,Symm,9,49,0.1,-9,Symm,5,0,0
21,0.4,-26,Symm,3,28,0.2,-13,Symm,7,0,0
0,1,0,-,1,23,0.05,-3,R-skew,7,0,0
45,0.01,8,-,1,43,0.2,-0,-,1,-1,0
61,0.1,7,L-skew,3,23,0.2,13,Symm,3,0,0
164,0.2,-21,Symm,9,18,0.75,-12,Symm,7,0,0
26,1,26,-,1,26,1,26,Symm,3,0,0
10,0.75,-17,R-skew,5,3,0.6,2,-,1,0,0
76,0.1,-14,Symm,7,-5,0.4,-7,-,1,1,0
-8,1,-8,-,1,41,0.4,-31,Symm,3,0,0
-8,1,-8,-,1,108,0.05,-20,Symm,9,0,0
5,1,5,-,1,5,1,5,R-skew,7,0,0
20,0.95,11,-,1,22,0.01,18,R-skew,3,0,0
26,0.1,-1,Symm,9,4,0.99,-7,-,1,0,0
23,1,23,-,1,91,0.1,13,L-skew,5,0,1
18,1,18,-,1,42,0.4,11,Symm,9,0,0
10,0.4,2,L-skew,4,174,0.1,-20,Symm,7,0,0
65,0.25,-8,-,1,46,0.25,-9,Symm,3,1,1
-3,1,-3,-,1,46,0.05,-3,L-skew,2,0,0
17,0.95,8,-,1,40,0.25,7,Symm,9,0,1
17,1,17,-,1,16,0.95,-8,L-skew,6,0,0
12,1,12,-,1,39,0.6,-32,-,1,0,0
21,1,21,-,1,28,0.5,12,-,1,0,0
20,0.99,8,Symm,3,61,0.25,-6,Symm,5,-1,0
22,1,22,-,1,20,0.2,19,Symm,9,0,0
25,1,25,-,1,115,0.2,5,-,1,0,0
-6,1,-6,-,1,50,0.4,-41,-,1,0,0
23,0.99,21,R-skew,2,201,0.2,-14,Symm,3,-1,0
0,1,0,-,1,5,0.05,-1,Symm,7,0,0
9,1,9,-,1,136,0.25,-38,-,1,0,0
17,1,17,-,1,11,0.99,-19,-,1,0,0
41,0.25,20,-,1,37,0.8,-11,Symm,7,0,0
9,0.8,-20,-,1,6,0.9,-40,R-skew,8,0,0
-1,0.1,-3,-,1,26,0.05,-3,Symm,9,0,1
22,0.01,18,R-skew,6,32,0.2,11,Symm,7,0,0
50,0.5,-10,Symm,9,44,0.6,-16,-,1,0,0
21,1,21,-,1,43,0.1,22,-,1,0,0
17,0.5,-13,-,1,23,0.5,1,L-skew,2,0,0
41,0.75,-6,-,1,48,0.8,-10,Symm,5,1,0
11,0.2,5,-,1,6,1,6,Symm,5,0,0
7,1,7,-,1,14,0.1,-2,-,1,0,1
13,1,13,-,1,13,0.95,-2,-,1,0,1
7,1,7,-,1,21,0.75,-5,Symm,7,0,0
11,0.8,-11,-,1,19,0.6,-29,-,1,0,1
19,1,19,-,1,25,0.4,8,Symm,7,0,0
41,0.2,21,-,1,25,1,25,R-skew,7,0,0
27,0.1,-13,-,1,28,0.25,-31,-,1,0,0
1,1,1,-,1,-1,0.9,-10,-,1,0,0
3,1,3,-,1,17,0.5,-17,L-skew,3,0,0
29,0.2,-9,Symm,9,50,0.4,-43,Symm,7,0,0
103,0.25,-18,Symm,9,12,1,12,-,1,0,0
32,0.9,-2,-,1,29,1,29,-,1,0,0
17,1,17,-,1,20,0.99,-9,-,1,0,0
49,0.05,24,-,1,40,0.4,17,Symm,3,0,0
4,1,4,-,1,0,0.75,-17,Symm,3,0,0
18,1,18,Symm,3,25,0.6,16,-,1,0,1
24,1,24,-,1,29,0.6,11,-,1,0,0
30,0.01,1,Symm,3,10,0.5,7,-,1,0,0
9,1,9,-,1,64,0.25,4,-,1,0,1
51,0.25,6,Symm,7,85,0.2,-6,Symm,5,0,0
23,1,23,-,1,37,0.4,-2,-,1,0,0
-5,1,-5,-,1,13,0.6,-30,-,1,0,0
25,1,25,Symm,5,36,0.6,-4,Symm,7,0,0
29,1,29,-,1,32,0.6,14,-,1,0,0
28,1,28,-,1,53,0.25,11,-,1,0,0
88,0.5,-34,-,1,23,0.6,20,-,1,0,0
-7,1,-7,-,1,8,0.1,-5,-,1,0,0
1,1,1,-,1,9,0.2,5,-,1,0,0
75,0.25,-25,Symm,9,2,0.25,-4,-,1,-1,0
-3,1,-3,-,1,29,0.5,-39,L-skew,6,0,0
1,1,1,-,1,102,0.1,-0,-,1,0,0
124,0.05,-16,-,1,31,0.25,-11,-,1,0,0
5,1,5,-,1,31,0.01,3,Symm,5,0,1
5,0.01,-4,-,1,47,0.1,-9,Symm,9,0,0
-2,1,-2,-,1,72,0.4,-39,-,1,0,0
60,0.4,-10,R-skew,3,18,1,18,-,1,0,0
-10,0.4,-10,-,1,-10,0.95,-28,-,1,0,0
26,0.95,21,Symm,7,54,0.2,17,R-skew,7,0,1
11,0.05,-5,-,1,44,0.25,-30,Symm,9,0,0
18,1,18,-,1,23,0.99,-6,R-skew,2,0,0
23,1,23,-,1,30,0.5,28,Symm,9,0,1
-10,1,-10,-,1,9,0.1,-1,R-skew,5,0,0
18,0.5,-26,Symm,5,-3,0.6,-43,Symm,7,0,0
1,1,1,-,1,29,0.6,-49,Symm,3,0,0
38,0.5,-30,Symm,9,6,0.99,-16,-,1,-1,0
50,0.05,25,-,1,27,0.2,20,-,1,0,0
23,0.75,10,-,1,36,0.2,18,-,1,0,0
4,1,4,-,1,47,0.01,7,-,1,0,0
2,0.6,-8,Symm,3,44,0.4,-24,-,1,-1,0
-5,1,-5,-,1,96,0.2,-29,Symm,5,0,0
16,0.95,15,-,1,166,0.25,-44,-,1,0,0
25,0.01,21,R-skew,3,45,0.6,-4,Symm,3,0,0
68,0.01,8,-,1,19,0.6,-28,-,1,0,0
0,1,0,-,1,35,0.2,-19,-,1,0,0
60,0.01,3,Symm,3,58,0.01,12,Symm,5,0,0
24,0.8,-26,-,1,59,0.01,22,R-skew,6,0,0
1,1,1,-,1,1,1,1,Symm,5,0,0
11,0.9,-15,-,1,9,0.25,5,-,1,0,0
13,1,13,-,1,41,0.5,-19,-,1,0,1
-7,1,-7,-,1,0,0.9,-5,Symm,9,0,1
17,1,17,-,1,16,0.99,8,-,1,0,0
41,0.75,-12,-,1,25,0.75,12,-,1,0,1
25,1,25,-,1,38,0.1,24,L-skew,4,0,0
9,1,9,-,1,16,0.6,-1,Symm,7,0,1
33,0.95,-24,-,1,55,0.05,21,Symm,9,0,0
138,0.2,-2,-,1,54,0.75,-46,Symm,3,-1,0
3,1,3,-,1,29,0.05,12,L-skew,5,0,1
25,1,25,-,1,27,0.8,3,-,1,0,0
13,1,13,-,1,13,1,13,L-skew,4,0,0
21,0.25,9,R-skew,2,12,0.95,7,R-skew,6,1,0
12,1,12,-,1,30,0.2,18,L-skew,5,0,0
31,0.9,-19,L-skew,4,52,0.01,18,Symm,7,0,0
14,1,14,-,1,61,0.5,-29,-,1,0,0
-2,1,-2,-,1,-6,0.75,-13,-,1,0,0
11,1,11,-,1,11,0.6,5,-,1,0,0
9,0.1,2,-,1,77,0.4,-49,Symm,5,0,0
14,0.95,-33,-,1,12,0.01,9,-,1,0,0
14,1,14,-,1,31,0.4,-4,Symm,9,0,1
30,1,30,R-skew,4,33,0.1,26,-,1,0,1
28,1,28,-,1,25,0.9,-13,L-skew,6,0,1
19,0.6,17,Symm,3,17,0.99,-12,-,1,-1,0
18,0.8,3,-,1,44,0.2,11,Symm,5,0,0
92,0.2,7,Symm,9,97,0.5,-41,Symm,9,0,0
71,0.25,-33,Symm,9,90,0.2,-32,-,1,-1,0
-2,1,-2,-,1,24,0.05,-1,-,1,0,0
27,0.8,-38,-,1,17,0.75,-15,-,1,0,0
23,1,23,-,1,56,0.05,34,R-skew,6,0,0
-8,0.25,-9,-,1,-1,0.5,-31,Symm,7,0,0
88,0.05,-3,L-skew,7,2,1,2,-,1,0,0
21,1,21,-,1,59,0.1,13,Symm,3,0,0
9,1,9,-,1,25,0.5,-12,Symm,3,0,0
3,0.6,-9,-,1,31,0.01,-10,-,1,0,0
34,0.6,-19,R-skew,5,25,0.8,-21,-,1,0,0
13,1,13,-,1,25,0.8,-16,-,1,0,0
154,0.25,-30,-,1,25,0.8,-20,L-skew,3,0,0
67,0.2,-28,-,1,18,0.05,-3,Symm,7,1,0
26,0.5,22,R-skew,2,117,0.25,-20,Symm,3,0,0
97,0.25,-11,-,1,62,0.01,24,-,1,0,0
14,1,14,-,1,50,0.2,10,R-skew,3,0,0
72,0.05,19,-,1,59,0.25,11,-,1,1,0
137,0.1,17,Symm,7,182,0.05,23,Symm,5,0,0
18,1,18,-,1,31,0.2,8,-,1,0,0
-3,0.01,-8,R-skew,4,-10,0.99,-24,-,1,0,0
18,0.75,10,-,1,66,0.01,25,-,1,0,0
25,1,25,-,1,27,0.8,-21,-,1,0,0
23,0.4,20,-,1,64,0.4,-8,Symm,5,0,0
34,0.1,8,L-skew,3,98,0.2,-24,-,1,0,0
35,0.75,14,-,1,43,0.8,1,-,1,-1,0
201,0.2,-24,-,1,37,0.2,18,Symm,7,-1,1
28,1,28,-,1,26,0.9,8,-,1,0,0
-6,1,-6,-,1,-1,0.9,-12,-,1,0,0
69,0.2,-7,-,1,16,0.01,5,Symm,5,0,1
41,0.01,6,-,1,21,0.6,5,-,1,0,0
-10,1,-10,-,1,-8,0.05,-19,-,1,0,1
13,1,13,-,1,9,0.8,-7,-,1,0,0
5,0.05,-0,-,1,30,0.25,1,-,1,0,1
24,0.5,20,Symm,7,31,0.8,-7,-,1,0,0
28,0.6,20,Symm,7,150,0.2,-19,-,1,0,1
42,0.5,-38,-,1,10,0.8,-23,-,1,0,0
27,1,27,-,1,103,0.4,-16,Symm,9,0,0
59,0.01,26,-,1,51,0.4,15,R-skew,7,0,0
21,1,21,-,1,53,0.2,5,Symm,3,0,1
-6,1,-6,-,1,56,0.25,-27,-,1,0,0
-10,1,-10,-,1,14,0.05,-10,-,1,0,1
17,1,17,-,1,24,0.5,8,Symm,9,0,0
-1,1,-1,-,1,83,0.1,-14,Symm,3,0,0
19,1,19,-,1,23,0.8,-42,Symm,9,0,0
41,0.6,-6,-,1,53,0.5,5,Symm,5,0,0
59,0.6,-23,-,1,142,0.2,-17,L-skew,6,0,1
3,0.8,-12,-,1,157,0.2,-38,R-skew,3,0,1
6,1,6,-,1,6,1,6,R-skew,7,0,0
-5,1,-5,-,1,67,0.1,-3,L-skew,2,0,1
29,0.95,11,Symm,5,53,0.4,17,-,1,0,0
10,0.5,4,-,1,75,0.25,-12,Symm,9,0,0
8,0.5,-28,R-skew,5,14,0.4,-26,R-skew,4,0,0
-6,1,-6,-,1,34,0.6,-50,R-skew,2,0,1
175,0.1,-5,Symm,7,15,0.25,14,Symm,3,0,0
15,1,15,-,1,28,0.95,-20,-,1,0,0
34,0.2,24,-,1,66,0.4,2,L-skew,5,0,0
7,0.2,6,L-skew,2,12,0.01,3,-,1,0,1
8,0.01,4,-,1,22,0.75,-34,-,1,0,0
14,0.5,-18,-,1,15,0.4,-4,L-skew,3,0,1
-3,1,-3,-,1,60,0.2,-17,-,1,0,0
24,1,24,-,1,86,0.4,-28,Symm,3,0,0
2,1,2,-,1,26,0.5,-31,L-skew,4,0,0
212,0.01,12,-,1,23,0.01,20,Symm,9,0,0
25,0.95,-42,-,1,41,0.01,24,-,1,0,0
78,0.4,-45,L-skew,2,72,0.01,1,L-skew,3,-1,0
12,1,12,-,1,177,0.1,-9,Symm,9,0,0
