GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,B.1,B.2,B.3,B.4,B.5,BEASTpred.1,BEASTpred.2,BEASTpred.3,BEASTpred.4,BEASTpred.5,MSE,good_bad
11,19.0,1.0,19.0,1.0,0.0,0.0,0.0,1.0,20.0,0.9,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,12.0,-39.0,1.0,-19.0,0.0,1.0,0.8076,0.8064,0.0218,-0.0962,-0.0968,0.0,-3.0,-3.0,-8.0,0.1328,0.2192,0.20800000000000002,0.1968,0.2064,0.10897000000000001,0.13591,0.14959,0.155,0.15665,0.0030278247200000003,1
12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,-50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,-50.0,50.0,0.0,0.0,1.0,0.0116,-0.0006,0.0116,0.0116,-0.0006,0.0,0.0,0.0,0.0,0.3376,0.4128,0.4304,0.4352,0.3808,0.4118,0.44751,0.45773,0.45768000000000003,0.46673000000000003,0.0030693336600000004,1
13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,-50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,-50.0,50.0,0.0,0.0,1.0,0.0138,0.0054,0.0138,0.0138,0.0054,0.0,0.0,0.0,0.0,0.3616,0.3696,0.4,0.3712,0.36,0.41431,0.44303000000000003,0.45948999999999995,0.45912,0.45866999999999997,0.00583501288,1
14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-0.006,-0.0034,-0.006,-0.006,-0.0034,0.0,0.0,0.0,0.0,0.4912,0.4512,0.4208,0.4064,0.376,0.47284,0.48211000000000004,0.48318999999999995,0.49148000000000003,0.48788000000000004,0.004988154120000003,1
15,7.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.5,24.5,-6.0,43.0,18.5,0.14285714300000002,1.0,-0.0056,0.0138,-0.0056,0.0,0.0,0.0,18.5,18.5,0.0,0.7824,0.8432,0.8784,0.8288,0.8464,0.9980899999999999,0.99808,0.9980399999999999,0.99841,0.9982,0.027326902439999988,0
16,7.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.5,25.5,-8.0,43.0,17.5,0.0,1.0,0.0004,0.013999999999999999,0.0004,-0.4998,-0.493,0.0,17.5,17.5,-51.0,0.7072,0.7904,0.8128,0.8320000000000001,0.8304,0.84601,0.89036,0.92119,0.93219,0.93704,0.012483747099999994,0
17,30.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.5,24.5,-29.0,20.0,-4.5,0.033333333,1.0,0.019,-0.009000000000000001,0.019,0.0,0.0,0.0,-4.5,-4.5,0.0,0.2384,0.3296,0.3248,0.304,0.2896,0.25406999999999996,0.31821,0.31443000000000004,0.31289,0.31511999999999996,0.00024262407999999885,1
18,30.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,50.0,0.5,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.5,25.5,-31.0,20.0,-5.5,0.0,1.0,-0.0006,0.0016,-0.0006,-0.5003,-0.4992,0.0,-5.5,-5.5,-51.0,0.23199999999999998,0.32799999999999996,0.4032,0.3328,0.3328,0.20199999999999999,0.27776,0.27473000000000003,0.27810999999999997,0.2786,0.005171446919999998,1
19,9.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,26.17250466,-7.0,247.0,54.75,0.222222222,1.0,-0.7476,-0.7436,0.2554,0.0,0.0,0.0,0.0,0.0,0.0,0.3648,0.3872,0.3568,0.3088,0.2976,0.42572,0.36761,0.33313000000000004,0.32611999999999997,0.31895999999999997,0.0010823030799999986,1
20,9.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,26.17250466,-7.0,247.0,54.75,0.222222222,1.0,-0.7494,-0.7504,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.376,0.392,0.3632,0.3616,0.42812,0.36456,0.33551,0.32253000000000004,0.31876,0.0019055605200000007,1
21,10.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.1607,0.0094,0.0,-0.1607,0.0094,0.0,-1.6666666669999999,-0.833333333,0.0,0.3728,0.41600000000000004,0.4704,0.48,0.5072,0.44628,0.47558999999999996,0.48461000000000004,0.48958999999999997,0.4932,0.0018880341399999975,1
22,10.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09699999999999999,0.0004,0.0,0.09699999999999999,0.0004,0.0,1.0,0.5,0.0,0.8208,0.8384,0.7824,0.7072,0.6592,0.79885,0.71343,0.65967,0.63217,0.6087199999999999,0.007867937520000005,1
23,10.0,0.9,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.4294,0.001,0.0,-0.4294,0.001,0.0,-4.333333333,-2.166666667,0.0,0.1456,0.1616,0.2576,0.3248,0.3184,0.17135,0.2606,0.32116,0.34852,0.37768,0.00371613858,1
24,-2.0,1.0,-2.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.5,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.666666667,-1.0,-0.0114,0.0172,-0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.4816,0.52,0.4784,0.4784,0.4496,0.4994,0.49704,0.50083,0.49728,0.49896999999999997,0.0008281915600000002,1
25,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,1.0,-0.0116,0.0246,-0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.4064,0.5008,0.4592,0.4624,0.4944,0.49775,0.49943999999999994,0.50017,0.498,0.49891,0.0022625826200000027,1
26,16.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0,50.0,0.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6,24.00499948,-15.0,34.0,9.5,0.0625,1.0,-0.2054,-0.2064,-0.0072,0.0,0.0,0.0,4.6,4.6,0.0,0.4992,0.6528,0.6112,0.5968,0.5456,0.55557,0.52781,0.5606399999999999,0.5694,0.57567,0.004602271100000005,1
27,16.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0,48.0,0.4,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.8,23.07726154,-15.0,34.0,19.75,0.0625,1.0,-0.1982,-0.1896,0.4956,0.0,0.0,0.0,3.8,3.8,0.0,0.504,0.568,0.6,0.5776,0.5728,0.60211,0.56095,0.5787899999999999,0.5855899999999999,0.58525,0.0020687962600000015,1
28,6.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.5,1.5,0.0,3.0,1.5,1.0,1.0,0.5055,0.0,0.5055,0.0,0.0,1.0,1.5,1.5,0.0,0.9088,0.8656,0.8256,0.8464,0.8432,1.0,0.70516,0.6762699999999999,0.68711,0.68692,0.021230925000000005,0
29,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.666666667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9664,0.9824,0.9904,0.9888,0.9952,1.0,1.0,1.0,1.0,1.0,0.0003358719999999993,1
30,6.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.5031,0.4973,0.5031,0.0,0.0,1.0,1.0,1.0,0.0,0.9424,0.9648,0.9632,0.976,0.9792,1.0,1.0,1.0,1.0,1.0,0.001383936000000001,1
31,4.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,40.0,0.6,-44.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.4,41.15142768,-48.0,36.0,-6.0,0.0,1.0,-0.2742,0.2036,0.0032,-0.6371,-0.3982,0.0,-18.0,-7.8,-67.2,0.232098765,0.308641975,0.34320987700000005,0.40740740700000005,0.365432099,0.24829,0.39255999999999996,0.43406999999999996,0.45497,0.46955,0.00573253810476608,1
32,24.0,0.75,-4.0,1.0,0.0,0.0,0.0,1.0,82.0,0.25,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.75,22.0836478,7.0,58.0,32.5,0.0,1.0,-0.0022,-0.1182,1.0,0.244,0.2437,0.0,5.75,5.75,43.0,0.681481481,0.683950617,0.6740740740000001,0.669135802,0.686419753,0.7833899999999999,0.66397,0.6292300000000001,0.6198100000000001,0.61933,0.003945926394787145,1
33,-3.0,1.0,-3.0,1.0,0.0,0.0,0.0,1.0,14.0,0.4,-22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.6,17.63632615,-19.0,17.0,-1.0,0.13636363599999998,1.0,-0.2184,-0.1918,-0.0214,0.3908,0.4041,0.0,-4.6,-4.6,28.8,0.32592592600000003,0.279012346,0.30617284,0.24691358,0.21975308600000001,0.34391,0.33881,0.31581,0.30951,0.30993000000000004,0.003208449761957318,1
34,7.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,27.0,0.1,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,-0.7,6.903622238,-3.0,21.0,14.25,0.571428571,1.0,-0.7964,-0.8036,0.4976,0.0,0.0,0.0,-0.7,-0.7,0.0,0.387654321,0.44691358,0.427160494,0.41234567899999996,0.402469136,0.56183,0.47248,0.42196999999999996,0.40896,0.39992,0.006207142226265805,1
35,-5.0,1.0,-5.0,1.0,0.0,0.0,0.0,1.0,47.0,0.01,-15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.38,6.16892211,-10.0,52.0,21.0,0.333333333,1.0,-0.9790000000000001,-0.9786,0.0146,0.0105,0.0107,0.0,-9.38,-9.38,1.24,0.175308642,0.088888889,0.041975309,0.027160494,0.04938271599999999,0.24441,0.17539000000000002,0.13077,0.11624000000000001,0.1082,0.006307313663560932,1
36,28.0,1.0,28.0,1.0,0.0,0.0,0.0,1.0,88.0,0.6,-46.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.4,65.67373904,-74.0,64.0,27.0,0.0,1.0,0.2054,0.1866,0.5004,-0.3973,-0.4067,0.0,6.4,6.4,-110.4,0.392592593,0.545679012,0.558024691,0.602469136,0.567901235,0.45981000000000005,0.51532,0.53105,0.53997,0.54328,0.002135966116327401,1
37,23.0,0.9,0.0,1.0,0.0,0.0,0.0,1.0,64.0,0.4,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,27.88275435,-7.0,41.0,17.0,0.0,1.0,-0.2096,-0.2024,-0.0036,-0.6048,-0.5599,0.0,0.7,0.7,-78.1,0.380246914,0.409876543,0.419753086,0.367901235,0.372839506,0.3974,0.41923,0.44743999999999995,0.45163000000000003,0.46196000000000004,0.003220249852649383,1
38,24.0,1.0,24.0,1.0,0.0,0.0,0.0,1.0,34.0,0.05,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3,1.3076696829999999,4.0,10.0,7.0,0.857142857,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.3,4.3,0.0,0.908641975,0.977777778,0.990123457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001787532396829752,1
39,29.0,1.0,29.0,1.0,0.0,0.0,0.0,1.0,33.0,0.8,6.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,-1.4,10.83697375,-23.0,6.0,-0.5,0.20689655199999998,1.0,0.6148,0.5964,0.6838,0.0,0.0,0.0,-1.4,-1.4,0.0,0.498765432,0.688888889,0.696296296,0.683950617,0.664197531,0.42351000000000005,0.47988000000000003,0.48835,0.48841,0.48972,0.03225365989344744,0
40,3.0,0.8,-37.0,1.0,0.0,0.0,0.0,1.0,79.0,0.4,-46.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,9.0,46.26716631,-9.0,82.0,55.625,0.804347826,1.0,-0.2172,-0.217,0.501,-0.4116,-0.4125,0.0,9.0,9.0,-106.4375,0.48641975299999995,0.535802469,0.604938272,0.6,0.5629629629999999,0.6816399999999999,0.6240899999999999,0.6177199999999999,0.61928,0.61357,0.009800359226680462,1
41,29.0,1.0,29.0,1.0,0.0,0.0,0.0,1.0,44.0,0.4,21.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.2,11.28538878,-8.0,17.0,11.16666667,0.7241379309999999,1.0,-0.2054,-0.19,0.6652,0.0,0.0,0.0,1.2,1.2,0.0,0.683950617,0.730864198,0.7432098770000001,0.6790123459999999,0.67654321,0.70948,0.635,0.61928,0.6170100000000001,0.61119,0.006663128246917364,1
42,-6.0,1.0,-6.0,1.0,0.0,0.0,0.0,1.0,54.0,0.1,-21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-7.5,22.5,-15.0,60.0,22.5,0.28571428600000004,1.0,-0.5304,-0.8022,0.0068,0.2348,0.0989,0.0,2.5,-2.5,15.0,0.604938272,0.47654321,0.254320988,0.227160494,0.19753086399999997,0.69092,0.43756999999999996,0.31271,0.27993,0.2642,0.00391008796567535,1
43,14.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,12.0,0.9,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.3,0.9,-5.0,-2.0,-3.5,0.642857143,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.3,-2.3,0.0,0.128395062,0.04444444400000001,0.0024691360000000002,0.0,0.0049382720000000005,0.0,0.0,0.0,0.0,0.0,0.0036982167422770925,1
44,23.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,24.0,0.99,-33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,5.671428392,-56.0,1.0,-27.5,0.0,1.0,0.98,0.9788,0.013000000000000001,-0.01,-0.0106,0.0,0.43,0.43,-1.14,0.274074074,0.437037037,0.46913580200000005,0.49382716,0.46666666700000003,0.39576999999999996,0.48061000000000004,0.54283,0.56007,0.5705899999999999,0.0074655018643109,1
45,13.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,13.0,1.0,13.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.4142135619999998,-4.0,4.0,0.0,0.692307692,1.0,-0.0069,-0.0019,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.496296296,0.558024691,0.585185185,0.533333333,0.52345679,0.5018100000000001,0.5010899999999999,0.50232,0.50133,0.49738999999999994,0.002368457944032465,1
46,37.0,0.01,9.0,1.0,0.0,0.0,0.0,1.0,30.0,0.6,-37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.08,30.03719773,-46.0,-7.0,-26.5,0.0,1.0,0.1974,0.19399999999999998,-1.0,-0.3921,-0.3967,0.0,-6.08,-6.08,-59.2,0.2,0.269135802,0.271604938,0.30617284,0.301234568,0.1862,0.29333000000000004,0.31113,0.31445,0.32268,0.0005732895348598553,1
47,11.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,57.0,0.2,-5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,-3.6,25.36217656,-16.0,51.0,25.14285714,0.0,1.0,-0.6278,-0.6128,0.4132,-0.8139,-0.8064,0.0,-3.6,-3.6,-107.61875,0.214814815,0.19506172800000002,0.209876543,0.158024691,0.145679012,0.26757,0.26405,0.27316999999999997,0.27845,0.28261,0.008960180687868533,1
48,-2.0,1.0,-2.0,1.0,0.0,0.0,0.0,1.0,24.0,0.5,-24.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,24.0,-22.0,26.0,2.0,0.083333333,1.0,-0.3544,-0.0086,0.0164,0.3228,0.4957,0.0,-6.666666667,-2.333333333,48.0,0.390123457,0.49382716,0.5160493829999999,0.44691358,0.419753086,0.52065,0.5202399999999999,0.54205,0.55101,0.55461,0.009486660107839388,1
49,23.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,23.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7071067809999999,-1.0,1.0,0.0,0.956521739,1.0,-0.0148,-0.0096,-0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.538271605,0.496296296,0.49382716,0.483950617,0.47654321,0.4962,0.5016,0.49988999999999995,0.4996,0.5020100000000001,0.0005456735666892075,1
50,4.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.4142135619999998,-4.0,4.0,0.0,0.0,1.0,0.0063,0.0051,0.0073,-0.0041,-0.0054,0.0,0.0,0.0,-0.03125,0.437037037,0.656790123,0.597530864,0.57037037,0.572839506,0.41849,0.44656999999999997,0.45919,0.46516,0.46737,0.017173545199860387,0
51,42.0,0.8,-18.0,1.0,0.0,0.0,0.0,1.0,68.0,0.2,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-6.0,41.0,26.0,33.5,0.0,1.0,-0.1884,-0.2968,1.0,0.2036,0.1975,0.0,2.0,2.0,34.4,0.792592593,0.708641975,0.735802469,0.716049383,0.703703704,0.78291,0.65601,0.62115,0.6087899999999999,0.60241,0.0075548111517961146,1
52,46.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,46.0,0.25,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,2.384609691,-2.0,0.0,-1.0,0.0,1.0,-0.6912,-0.5511,-0.4998,-0.6912,-0.5511,0.0,0.8,0.8,-33.6,0.36296296299999997,0.261728395,0.254320988,0.222222222,0.217283951,0.33647,0.38339,0.41013,0.4182,0.42096999999999996,0.023935033493431842,0
53,28.0,1.0,28.0,1.0,0.0,0.0,0.0,1.0,42.0,0.75,-22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,27.71281292,-50.0,14.0,-18.0,0.0,1.0,0.4996,0.4956,0.0052,-0.2502,-0.2522,0.0,-2.0,-2.0,-32.0,0.355555556,0.427160494,0.41728395100000004,0.414814815,0.414814815,0.33211,0.44063,0.46735,0.47576999999999997,0.48491000000000006,0.002373320097814404,1
54,18.0,1.0,18.0,1.0,0.0,0.0,0.0,1.0,64.0,0.5,-33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.5,48.5,-51.0,46.0,-2.5,0.0,1.0,-0.0238,0.0096,-0.0238,-0.5119,-0.4952,0.0,-2.5,-2.5,-97.0,0.320987654,0.296296296,0.308641975,0.320987654,0.286419753,0.26195999999999997,0.34163000000000004,0.35907,0.36201,0.36856,0.003302449481813737,1
55,43.0,0.2,19.0,1.0,0.0,0.0,0.0,1.0,22.0,0.25,17.0,0.0,1.0,0.0,0.0,9.0,0.0,-1.0,-5.550000056,-7.322391637999999,-2.0,-17.0,-9.5,0.894736842,1.0,-0.9027,-0.5124,-0.503,0.0,0.0,0.0,-5.550000056,-5.550000056,-5.2e-08,0.204938272,0.158024691,0.09382716,0.074074074,0.069135802,0.033613,0.05108,0.053747,0.052066999999999995,0.05284,0.008629159890689948,1
56,-8.0,1.0,-8.0,1.0,0.0,0.0,0.0,1.0,-5.0,0.99,-34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.71,2.885463568,-26.0,3.0,-11.5,0.235294118,-1.0,0.982,0.9818,-0.0116,0.0,0.0,0.0,2.71,2.71,0.0,0.762962963,0.8814814809999999,0.90617284,0.901234568,0.89382716,0.64635,0.72573,0.77464,0.7892100000000001,0.8013600000000001,0.0152515348971701,0
57,49.0,0.5,-3.0,1.0,0.0,0.0,0.0,1.0,33.0,0.95,17.0,0.0,1.0,0.0,0.0,9.0,0.0,-1.0,9.200000107000001,-22.25033334,20.0,-12.0,8.4,0.0,1.0,-0.0072,0.0012,-0.0072,0.4964,0.5006,0.0,9.200000107000001,9.200000107000001,52.00000016,0.767901235,0.708641975,0.6987654320000001,0.730864198,0.748148148,0.83765,0.75183,0.74921,0.7498100000000001,0.75052,0.0019278638516931168,1
58,85.0,0.4,-7.0,1.0,0.0,0.0,0.0,1.0,40.0,0.25,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.8,-38.14240804,31.0,-45.0,-7.0,0.0,1.0,0.193,0.2016,0.0048,0.5965,0.6008,0.0,-1.8,-1.8,110.4,0.602469136,0.5111111110000001,0.520987654,0.540740741,0.558024691,0.64399,0.60233,0.56831,0.55937,0.55191,0.0025337422051118167,1
59,17.0,0.25,16.0,1.0,0.0,0.0,0.0,1.0,43.0,0.4,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.15,19.65280319,-14.0,26.0,6.0,0.125,1.0,-0.2012,-0.185,-0.0038,0.0,0.0,0.0,2.15,2.15,0.0,0.5111111110000001,0.52345679,0.520987654,0.49382716,0.48641975299999995,0.52608,0.50389,0.5312399999999999,0.5402,0.5394800000000001,0.0011355735217337519,1
60,51.0,0.1,21.0,1.0,0.0,0.0,0.0,1.0,38.0,0.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,9.126224097,-20.0,-13.0,-16.5,0.047619048,1.0,0.0054,0.0742,-1.0,0.0,0.0,0.0,-0.8,-0.8,0.0,0.365432099,0.37777777799999995,0.340740741,0.29382716,0.301234568,0.25913,0.35841,0.39651,0.40403,0.40709,0.0076270991507688774,1
